Date,Open,High,Low,Close,Adj Close,Volume
2022-09-19,7.320000,7.400000,7.280000,7.370000,6.633827,857400
2022-09-20,7.320000,7.330000,7.240000,7.280000,6.552817,1117100
2022-09-21,7.330000,7.360000,7.170000,7.170000,6.453805,1358000
2022-09-22,7.200000,7.280000,6.860000,6.890000,6.201773,3251400
2022-09-23,6.810000,6.840000,6.670000,6.770000,6.093760,3814400
2022-09-26,6.740000,6.790000,6.530000,6.530000,5.877733,3003000
2022-09-27,6.570000,6.750000,6.500000,6.560000,5.959496,2078100
2022-09-28,6.560000,6.710000,6.520000,6.690000,6.077594,1120400
2022-09-29,6.640000,6.670000,6.090000,6.110000,5.550688,3761400
2022-09-30,6.140000,6.300000,6.120000,6.200000,5.632449,2138400
2022-10-03,6.280000,6.470000,6.120000,6.390000,5.805055,2396600
2022-10-04,6.500000,6.860000,6.500000,6.850000,6.222948,2382400
2022-10-05,6.740000,6.810000,6.580000,6.760000,6.141186,1645300
2022-10-06,6.720000,6.820000,6.660000,6.660000,6.050340,944000
2022-10-07,6.620000,6.640000,6.510000,6.530000,5.932241,1113900
2022-10-10,6.540000,6.570000,6.400000,6.440000,5.850480,1192800
2022-10-11,6.390000,6.500000,6.280000,6.430000,5.841395,1438100
2022-10-12,6.440000,6.560000,6.370000,6.520000,5.923155,949900
2022-10-13,6.430000,6.720000,6.340000,6.710000,6.095763,1992300
2022-10-14,6.740000,6.850000,6.650000,6.670000,6.059425,936400
2022-10-17,6.780000,6.890000,6.690000,6.750000,6.132102,1584700
2022-10-18,6.850000,6.940000,6.820000,6.860000,6.232032,1109900
2022-10-19,6.830000,6.880000,6.770000,6.850000,6.222948,1097900
2022-10-20,6.850000,6.960000,6.830000,6.870000,6.241117,1090400
2022-10-21,6.870000,6.970000,6.800000,6.950000,6.313794,1315000
2022-10-24,6.990000,7.130000,6.910000,7.110000,6.459147,1718200
2022-10-25,7.110000,7.360000,7.080000,7.310000,6.640839,1955200
2022-10-26,7.260000,7.330000,7.190000,7.190000,6.585881,1635000
2022-10-27,7.250000,7.300000,7.140000,7.160000,6.558401,1090500
2022-10-28,7.160000,7.260000,7.130000,7.240000,6.631679,883000
2022-10-31,7.240000,7.290000,7.180000,7.260000,6.649999,942300
2022-11-01,7.270000,7.320000,7.210000,7.270000,6.659159,1091700
2022-11-02,7.250000,7.380000,7.140000,7.220000,6.613359,1245900
2022-11-03,7.120000,7.210000,7.080000,7.160000,6.558401,1186900
2022-11-04,7.140000,7.330000,7.140000,7.280000,6.668319,1140500
2022-11-07,7.280000,7.460000,7.260000,7.440000,6.814875,1366100
2022-11-08,7.440000,7.500000,7.300000,7.340000,6.723277,1340300
2022-11-09,7.310000,7.350000,7.200000,7.200000,6.595040,976100
2022-11-10,7.380000,7.530000,7.280000,7.400000,6.778235,1656000
2022-11-11,7.470000,7.620000,7.440000,7.580000,6.943111,1495800
2022-11-14,7.520000,7.600000,7.390000,7.520000,6.888153,1338600
2022-11-15,7.560000,7.650000,7.500000,7.570000,6.933952,1096900
2022-11-16,7.590000,7.650000,7.550000,7.560000,6.924792,1157500
2022-11-17,7.500000,7.570000,7.450000,7.570000,6.933952,1127500
2022-11-18,7.550000,7.640000,7.550000,7.600000,6.961431,845300
2022-11-21,7.550000,7.690000,7.550000,7.690000,7.043869,1375000
2022-11-22,7.690000,7.760000,7.690000,7.740000,7.089667,1189800
2022-11-23,7.750000,7.810000,7.710000,7.790000,7.135467,1390100
2022-11-25,7.740000,7.830000,7.730000,7.820000,7.218545,885000
2022-11-28,7.800000,7.800000,7.620000,7.640000,7.052388,1281500
2022-11-29,7.650000,7.690000,7.620000,7.660000,7.070850,899300
2022-11-30,7.660000,7.750000,7.590000,7.740000,7.144697,974800
2022-12-01,7.750000,7.800000,7.670000,7.670000,7.080081,1022900
2022-12-02,7.650000,7.720000,7.590000,7.710000,7.117005,1146500
2022-12-05,7.680000,7.700000,7.410000,7.430000,6.858541,1991700
2022-12-06,7.470000,7.480000,7.220000,7.230000,6.673923,1717800
2022-12-07,7.260000,7.290000,7.140000,7.160000,6.609307,1425900
2022-12-08,7.200000,7.270000,7.160000,7.190000,6.637000,1116300
2022-12-09,7.180000,7.230000,7.160000,7.180000,6.627769,849900
2022-12-12,7.190000,7.270000,7.160000,7.260000,6.701615,1066600
2022-12-13,7.390000,7.440000,7.250000,7.290000,6.729309,968700
2022-12-14,7.300000,7.320000,7.190000,7.250000,6.692384,1165600
2022-12-15,7.190000,7.270000,7.160000,7.270000,6.710846,1306800
2022-12-16,7.200000,7.310000,7.180000,7.300000,6.738539,1376300
2022-12-19,7.270000,7.340000,7.170000,7.190000,6.637000,1636800
2022-12-20,7.170000,7.220000,7.080000,7.080000,6.535460,1684200
2022-12-21,7.140000,7.210000,7.070000,7.080000,6.535460,1410400
2022-12-22,7.040000,7.080000,6.960000,7.080000,6.535460,1365400
2022-12-23,7.100000,7.180000,7.070000,7.160000,6.609307,1034300
2022-12-27,7.120000,7.160000,7.040000,7.090000,6.599998,1566700
2022-12-28,7.050000,7.110000,6.970000,6.970000,6.488291,1572000
2022-12-29,6.990000,7.080000,6.990000,7.060000,6.572071,1512400
